,bowler,type,,,,,
112,A Choudhary,Pacer,,,,,
163,A Dananjaya,Spinner,,,,,
159,A Mishra,Spinner,,,,,
12,A Nehra,Pacer,,,,,"CV Varun,PJ Cummins,M Prasidh Krishna,SP Narine"
182,A Nortje,Pacer,,,,,
102,A Zampa,Spinner,,,,,
72,AB Dinda,Pacer,,,,,
500,Abhishek Sharma,Spinner,,,,,
25,AD Mathews,Pacer,,,,,
2,AD Russell,Pacer,,,,,
84,AF Milne,Pacer,,,,,
124,AJ Tye,Pacer,,,,,
16,AN Ahmed,Pacer,,,,,
6,Ankit Sharma,Spinner,,,,,
135,Ankit Soni,Spinner,,,,,
4,Anureet Singh,Pacer,,,,,
43,AR Patel,Spinner,,,,,
158,Arshdeep Singh,Pacer,,,,,
155,AS Joseph,Pacer,,,,,
106,AS Rajpoot,Spinner,,,,,
139,Avesh Khan,Pacer,,,,,
74,Azhar Mahmood,Pacer,,,,,
29,B Kumar,Spinner,,,,,
160,B Laughlin,Pacer,,,,,
118,B Stanlake,Pacer,,,,,
114,BA Stokes,Pacer,,,,,
123,Basil Thampi,Pacer,,,,,
75,BB Sran,Pacer,,,,,
103,BCJ Cutting,Pacer,,,,,
65,BE Hendricks,Pacer,,,,,
69,Bipul Sharma,Spinner,,,,,
136,C de Grandhomme,Pacer,,,,,
110,CH Gayle,Spinner,,,,,
7,CH Morris,Pacer,,,,,
41,CJ Anderson,Pacer,,,,,
172,CJ Dala,Pacer,,,,,
191,CJ Green,Spinner,,,,,
99,CJ Jordan,Pacer,,,,,
88,CR Brathwaite,Pacer,,,,,
116,CR Woakes,Pacer,,,,,
148,CV Varun,Spinner,,,,,
17,D Wiese,Pacer,,,,,
86,DJ Bravo,Pacer,,,,,
9,DJ Hooda,Spinner,,,,,
23,DJ Muthuswami,Pacer,,,,,
170,DJ Willey,Pacer,,,,,
105,DL Chahar,Pacer,,,,,
192,DR Sams,Pacer,,,,,
100,DR Smith,Pacer,,,,,
37,DS Kulkarni,Spinner,,,,,
119,DT Christian,Pacer,,,,,
28,DW Steyn,Spinner,,,,,
57,GB Hogg,Spinner,,,,,
149,GC Viljoen,Pacer,,,,,
96,GJ Maxwell,Spinner,,,,,
62,GS Sandhu,Pacer,,,,,
68,Gurkeerat Singh,Spinner,,,,,
20,Harbhajan Singh,Spinner,,,,,
174,Harpreet Brar,Spinner,,,,,
156,HF Gurney,Pacer,,,,,
115,HH Pandya,Pacer,,,,,
35,HV Patel,Pacer,,,,,
48,I Sharma,Pacer,,,,,
187,I Udana,Pacer,,,,,
11,IC Pandey,Pacer,,,,,
107,IK Pathan,Pacer,,,,,
53,Imran Tahir,Spinner,,,,,
14,Iqbal Abdulla,Spinner,,,,,
179,IS Sodhi,Spinner,,,,,
27,J Botha,Spinner,,,,,
51,J Suchith,Spinner,,,,,
500,J Suchith,Spinner,,,,,
60,J Theron,Pacer,,,,,
66,J Yadav,Spinner,,,,,
42,JA Morkel,Pacer,,,,,
145,JC Archer,Pacer,,,,,
49,JD Unadkat,Pacer,,,,,
186,JDS Neesham,Pacer,,,,,
21,JJ Bumrah,Pacer,,,,,
180,JL Pattinson,Pacer,,,,,
97,JO Holder,Pacer,,,,,
152,JP Behrendorff,Pacer,,,,,
36,JP Duminy,Spinner,,,,,
10,JP Faulkner,Pacer,,,,,
171,JPR Scantlebury-Searles,Pacer,,,,,
184,JR Hazlewood,Pacer,,,,,
79,JW Hastings,Pacer,,,,,
144,K Gowtham,Spinner,,,,,
162,K Khejroliya,Pacer,,,,,
130,K Rabada,Pacer,,,,,
194,KA Jamieson,Pacer,,,,,
52,Karanveer Singh,Spinner,,,,,
188,Kartik Tyagi,Pacer,,,,,
46,KC Cariappa,Spinner,,,,,
89,KH Pandya,Spinner,,,,,
90,KJ Abbott,Pacer,,,,,
157,KK Ahmed,Pacer,,,,,
500,KK Ahmed,Spinner,,,,,
189,KL Nagarkoti,Pacer,,,,,
168,KM Asif,Pacer,,,,,
173,KMA Paul,Pacer,,,,,
108,KS Williamson,Spinner,,,,,
121,Kuldeep Yadav,Spinner,,,,,
31,KV Sharma,Spinner,,,,,
93,KW Richardson,Pacer,,,,,
167,L Ngidi,Pacer,,,,,
166,LE Plunkett,Pacer,,,,,
125,LH Ferguson,Pacer,,,,,
87,M Ashwin,Spinner,,,,,
64,M de Lange,Pacer,,,,,
195,M Jansen,Pacer,,,,,
1,M Morkel,Pacer,,,,,
142,M Prasidh Krishna,Pacer,,,,,
104,M Vijay,Spinner,,,,,
33,MA Starc,Spinner,,,,,
32,MC Henriques,Spinner,,,,,
5,MG Johnson,Pacer,,,,,
137,MJ Henry,Pacer,,,,,
18,MJ McClenaghan,Pacer,,,,,
151,MJ Santner,Spinner,,,,,
141,MM Ali,Spinner,,,,,
126,MM Patel,Pacer,,,,,
13,MM Sharma,Pacer,,,,,
128,Mohammad Nabi,Spinner,,,,,
92,Mohammed Shami,Pacer,,,,,
129,Mohammed Siraj,Pacer,,,,,
193,Monu Kumar,Pacer,,,,,
82,MP Stoinis,Pacer,,,,,
78,MR Marsh,Spinner,,,,,
117,MS Gony,Pacer,,,,,
147,Mujeeb Ur Rahman,Spinner,,,,,
83,Mustafizur Rahman,Pacer,,,,,
165,N Rana,Spinner,,,,,
140,NA Saini,Pacer,,,,,
133,NB Singh,Pacer,,,,,
95,NLTC Perera,Pacer,,,,,
24,NM Coulter-Nile,Pacer,,,,,
176,O Thomas,Pacer,,,,,
30,P Kumar,Pacer,,,,,
73,P Negi,Spinner,,,,,
91,P Sahu,Spinner,,,,,
50,P Suyal,Pacer,,,,,
67,Parvez Rasool,Pacer,,,,,
54,PJ Cummins,Pacer,,,,,
80,PJ Sangwan,Pacer,,,,,
55,PP Chawla,Spinner,,,,,
8,PV Tambe,Spinner,,,,,
56,R Ashwin,Spinner,,,,,
71,R Dhawan,Pacer,,,,,
178,R Parag,Spinner,,,,,
138,R Tewatia,Spinner,,,,,
40,R Vinay Kumar,Pacer,,,,,
76,RA Jadeja,Spinner,,,,,
113,Rashid Khan,Spinner,,,,,
143,Rasikh Salam,Pacer,,,,,
185,Ravi Bishnoi,Spinner,,,,,
154,RD Chahar,Spinner,,,,,
61,RG More,Pacer,,,,,
77,RP Singh,Pacer,,,,,
63,S Aravind,Pacer,,,,,
122,S Badree,Spinner,,,,,
169,S Gopal,Spinner,,,,,
127,S Kaul,Pacer,,,,,
101,S Kaushik,Spinner,,,,,
81,S Ladda,Spinner,,,,,
150,S Lamichhane,Spinner,,,,,
70,S Nadeem,Spinner,,,,,
177,S Sandeep Warrier,Pacer,,,,,
45,SA Abbott,Pacer,,,,,
3,Sandeep Sharma,Pacer,,,,,
85,SB Jakati,Spinner,,,,,
153,SC Kuggeleijn,Pacer,,,,,
39,Shakib Al Hasan,Spinner,,,,,
164,Shivam Mavi,Pacer,,,,,
94,SK Raina,Spinner,,,,,
19,SL Malinga,Pacer,,,,,
98,SM Boland,Pacer,,,,,
146,SM Curran,Pacer,,,,,
59,SN Thakur,Pacer,,,,,
22,SP Narine,Spinner,,,,,
38,SR Watson,Spinner,,,,,
132,SS Agarwal,Spinner,,,,,
181,SS Cottrell,Pacer,,,,,
26,STR Binny,Pacer,,,,,
134,T Natarajan,Pacer,,,,,
47,TA Boult,Pacer,,,,,
120,Tejas Baroka,Spinner,,,,,
44,TG Southee,Pacer,,,,,
161,TK Curran,Pacer,,,,,
111,TS Mills,Pacer,,,,,
190,TU Deshpande,Pacer,,,,,
0,UT Yadav,Pacer,,,,,
183,V Shankar,Pacer,,,,,
15,VR Aaron,Spinner,,,,,
131,Washington Sundar,Spinner,,,,,
175,Y Prithvi Raj,Pacer,,,,,
109,YK Pathan,Spinner,,,,,
34,YS Chahal,Spinner,,,,,
58,Z Khan,Pacer,,,,,
500,Fabian Allen,Spinner,,,,,
500,A Singh,Pacer,,,,,
500,Chetan Sakariya,Pacer,,,,,
