venue,stdium
Arun Jaitley Stadium,Arun Jaitley Stadium
Brabourne Stadium,Brabourne Stadium
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Dubai International Cricket Stadium,Dubai International Cricket Stadium
Eden Gardens,Eden Gardens
Feroz Shah Kotla,Feroz Shah Kotla
Green Park,Green Park
Holkar Cricket Stadium,Holkar Cricket Stadium
JSCA International Stadium Complex,JSCA International Stadium Complex
M Chinnaswamy Stadium,M Chinnaswamy Stadium
M.Chinnaswamy Stadium,M Chinnaswamy Stadium
MA Chidambaram Stadium,MA Chidambaram Stadium
"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium
"MA Chidambaram Stadium, Chepauk, Chennai",MA Chidambaram Stadium
Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium
Punjab Cricket Association IS Bindra Stadium,Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium
Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium
"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium
"Sardar Patel Stadium, Motera",Narendra Modi Stadium
Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium
Sawai Mansingh Stadium,Sawai Mansingh Stadium
Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Stadium
Sharjah Cricket Stadium,Sharjah Cricket Stadium
Sheikh Zayed Stadium,Sheikh Zayed Stadium
Wankhede Stadium,Wankhede Stadium
"Wankhede Stadium, Mumbai",Wankhede Stadium
